id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,price,phone,display_phone,distance,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address,attributes.business_temp_closed,attributes.menu_url,attributes.open24_hours,attributes.waitlist_reservation,Station Name
752Fv2jKafftvoS3Twkqyg,hambrgr-hamilton,Hambrgr,https://s3-media2.fl.yelpcdn.com/bphoto/3QVAocW1I5_XTniJy_A7xA/o.jpg,False,https://www.yelp.com/biz/hambrgr-hamilton?adjust_creative=fRkw3HzayIJbOk3kT27ATg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=fRkw3HzayIJbOk3kT27ATg,207,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]",4.3,[],$$,+12893891212,+1 289-389-1212,377.3430524726985,43.25721,-79.8669,49 King William Street,,,Hamilton,L8R 1A2,CA,ON,"['49 King William Street', 'Hamilton, ON L8R 1A2', 'Canada']",,http://hambrgr.ca/menu-king-william,,,Sanders at Binkley
bHecMQ85o3ayw1t9hRA90g,the-french-hamilton,The French,https://s3-media3.fl.yelpcdn.com/bphoto/Ha71dfKKkDf9S75w8TTg3w/o.jpg,False,https://www.yelp.com/biz/the-french-hamilton?adjust_creative=fRkw3HzayIJbOk3kT27ATg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=fRkw3HzayIJbOk3kT27ATg,100,"[{'alias': 'bistros', 'title': 'Bistros'}, {'alias': 'french', 'title': 'French'}]",4.2,[],$$$,+19055283737,+1 905-528-3737,351.909786169935,43.25741,-79.86748,37 King William Street,,,Hamilton,L8R 1A1,CA,ON,"['37 King William Street', 'Hamilton, ON L8R 1A1', 'Canada']",,http://www.thefrench.ca/menu/,,,Sanders at Binkley
h2mI1wBIK1PyaNupaL58gw,the-mule-hamilton,The Mule,https://s3-media4.fl.yelpcdn.com/bphoto/bbhfnnLUscVQbblKXi2eVw/o.jpg,False,https://www.yelp.com/biz/the-mule-hamilton?adjust_creative=fRkw3HzayIJbOk3kT27ATg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=fRkw3HzayIJbOk3kT27ATg,181,"[{'alias': 'mexican', 'title': 'Mexican'}]",3.9,[],$$,+12893892555,+1 289-389-2555,355.3118981187424,43.25726,-79.86713,41 King William Street,,,Hamilton,L8R 1A2,CA,ON,"['41 King William Street', 'Hamilton, ON L8R 1A2', 'Canada']",,,,,Sanders at Binkley
9oIPWjU3DvtSdORv6I2toQ,the-ship-hamilton,The Ship,https://s3-media2.fl.yelpcdn.com/bphoto/dvWeA72m1IJKIKIVjk4UTQ/o.jpg,False,https://www.yelp.com/biz/the-ship-hamilton?adjust_creative=fRkw3HzayIJbOk3kT27ATg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=fRkw3HzayIJbOk3kT27ATg,208,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'burgers', 'title': 'Burgers'}]",4.1,[],$$,+19055260792,+1 905-526-0792,404.5078559430542,43.25215,-79.87,23 Augusta Street,,,Hamilton,L8N 1P6,CA,ON,"['23 Augusta Street', 'Hamilton, ON L8N 1P6', 'Canada']",,http://www.theship.ca/menu/,,,Sanders at Binkley
xwVB61hW9rpyp6wALR4Apg,berkeley-north-hamilton-2,Berkeley North,https://s3-media1.fl.yelpcdn.com/bphoto/dR82KlG7oA71lWXG2z7HzA/o.jpg,False,https://www.yelp.com/biz/berkeley-north-hamilton-2?adjust_creative=fRkw3HzayIJbOk3kT27ATg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=fRkw3HzayIJbOk3kT27ATg,41,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'newcanadian', 'title': 'Canadian (New)'}]",4.3,[],$$$,+19055225858,+1 905-522-5858,333.3015970930127,43.2574045478956,-79.8677145254958,31 King William Street,,,Hamilton,L8R 1A1,CA,ON,"['31 King William Street', 'Hamilton, ON L8R 1A1', 'Canada']",,http://www.berkeleynorth.ca/menu/,,,Sanders at Binkley
PAVNadox4HMXl-xdsjbjhg,sagarmatha-curry-palace-authentic-indian-and-nepalese-cuisine-hamilton,Sagarmatha Curry Palace  Authentic Indian & Nepalese Cuisine,https://s3-media2.fl.yelpcdn.com/bphoto/sRLHpiBxJLpybfnuu0YROw/o.jpg,False,https://www.yelp.com/biz/sagarmatha-curry-palace-authentic-indian-and-nepalese-cuisine-hamilton?adjust_creative=fRkw3HzayIJbOk3kT27ATg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=fRkw3HzayIJbOk3kT27ATg,41,"[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'himalayan', 'title': 'Himalayan/Nepalese'}]",3.8,[],$$,+19055226999,+1 905-522-6999,367.90830605891756,43.25725,-79.86708,43 King William Street,,,Hamilton,L8R 1A2,CA,ON,"['43 King William Street', 'Hamilton, ON L8R 1A2', 'Canada']",,https://sagarmathacurrypalace.ca/menu/,,,Sanders at Binkley
wZr3xBFhGfYMY-mqwsQuNQ,redchurch-cafe-gallery-hamilton,Redchurch Cafe + Gallery,https://s3-media4.fl.yelpcdn.com/bphoto/qua9YE4kD7B3zl22UxtJLQ/o.jpg,False,https://www.yelp.com/biz/redchurch-cafe-gallery-hamilton?adjust_creative=fRkw3HzayIJbOk3kT27ATg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=fRkw3HzayIJbOk3kT27ATg,26,"[{'alias': 'cafes', 'title': 'Cafes'}]",4.5,[],$,+19054070459,+1 905-407-0459,307.9264546303288,43.25551,-79.86725,68 King Street E,,,Hamilton,L8N 1A6,CA,ON,"['68 King Street E', 'Hamilton, ON L8N 1A6', 'Canada']",,https://www.redchurchcafe.com/menu,,,Sanders at Binkley
zldX2jhIDUBJzaEPYiSWUQ,radius-hamilton,Radius,https://s3-media2.fl.yelpcdn.com/bphoto/9bd_uf5aVnJgtJOFA8BNpQ/o.jpg,False,https://www.yelp.com/biz/radius-hamilton?adjust_creative=fRkw3HzayIJbOk3kT27ATg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=fRkw3HzayIJbOk3kT27ATg,94,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'tradamerican', 'title': 'American'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",3.2,[],$$$,+19053931658,+1 905-393-1658,372.9950420410887,43.2523512,-79.8708333,151 James Street S,,,Hamilton,L8P 2Z5,CA,ON,"['151 James Street S', 'Hamilton, ON L8P 2Z5', 'Canada']",,http://radius.ca/food-menus,,,Sanders at Binkley
EGutBSi1dgdaJoLu-LdsTw,august-8-hamilton,August 8,https://s3-media2.fl.yelpcdn.com/bphoto/HAndOnz4E-AIgQSaRJTwkA/o.jpg,False,https://www.yelp.com/biz/august-8-hamilton?adjust_creative=fRkw3HzayIJbOk3kT27ATg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=fRkw3HzayIJbOk3kT27ATg,124,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'dimsum', 'title': 'Dim Sum'}]",3.9,[],$$,+19055243838,+1 905-524-3838,530.3493444139274,43.25943,-79.86708,1 Wilson Street,Suite 12,,Hamilton,L8R,CA,ON,"['1 Wilson Street', 'Suite 12', 'Hamilton, ON L8R', 'Canada']",,,,,Sanders at Binkley
Cg0WEknzjnguRylTcf1pEQ,kenzo-hamilton,Kenzo,https://s3-media1.fl.yelpcdn.com/bphoto/rbxtzsWRIMnxlBbjL-AZfA/o.jpg,False,https://www.yelp.com/biz/kenzo-hamilton?adjust_creative=fRkw3HzayIJbOk3kT27ATg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=fRkw3HzayIJbOk3kT27ATg,24,"[{'alias': 'ramen', 'title': 'Ramen'}]",4.1,[],,+19055776666,+1 905-577-6666,253.31417087303663,43.256548097485,-79.8681968450546,21 King Street E,,,Hamilton,L8N 1A1,CA,ON,"['21 King Street E', 'Hamilton, ON L8N 1A1', 'Canada']",,,,,Sanders at Binkley
